city,region,country,country_code,latitude,longitude
Boise,Idaho,United States,USA,43.6007,-116.2312
Oxnard,California,United States,USA,34.1963,-119.1815
Scranton,Pennsylvania,United States,USA,41.4044,-75.6649
Modesto,California,United States,USA,37.6374,-121.0028
Kissimmee,Florida,United States,USA,28.3042,-81.4164
Aurora,Colorado,United States,USA,39.7087,-104.7273
Youngstown,Ohio,United States,USA,41.0993,-80.6463
Fayetteville,Arkansas,United States,USA,36.0713,-94.166
Anaheim,California,United States,USA,33.839,-117.8572
Pensacola,Florida,United States,USA,30.4427,-87.1886
Victorville,California,United States,USA,34.5277,-117.3536
Lancaster,California,United States,USA,34.6935,-118.1753
Greensboro,North Carolina,United States,USA,36.0956,-79.8269
Corpus Christi,Texas,United States,USA,27.726,-97.3755
Fort Wayne,Indiana,United States,USA,41.0886,-85.1437
Santa Ana,California,United States,USA,33.7366,-117.8819
Flint,Michigan,United States,USA,43.0235,-83.6922
Islip,New York,United States,USA,40.7384,-73.1887
Fayetteville,North Carolina,United States,USA,35.0846,-78.9776
Jackson,Mississippi,United States,USA,32.3163,-90.2124
Santa Rosa,California,United States,USA,38.4458,-122.7067
Lansing,Michigan,United States,USA,42.7142,-84.5601
Lexington,Kentucky,United States,USA,38.0423,-84.4587
Ann Arbor,Michigan,United States,USA,42.2755,-83.7312
Henderson,Nevada,United States,USA,36.0133,-115.038
Huntsville,Alabama,United States,USA,34.6988,-86.6412
Mobile,Alabama,United States,USA,30.6783,-88.1162
Fort Collins,Colorado,United States,USA,40.5478,-105.0656
Asheville,North Carolina,United States,USA,35.5704,-82.5536
Santa Clarita,California,United States,USA,34.4175,-118.4964
St. Paul,Minnesota,United States,USA,44.9477,-93.104
Antioch,California,United States,USA,37.9789,-121.7958
Lakeland,Florida,United States,USA,28.0556,-81.9545
Oyster Bay,New York,United States,USA,40.7845,-73.5139
Trenton,New Jersey,United States,USA,40.2236,-74.7641
Lincoln,Nebraska,United States,USA,40.809,-96.6788
Springfield,Missouri,United States,USA,37.1943,-93.2916
Anchorage,Alaska,United States,USA,61.1508,-149.1091
Plano,Texas,United States,USA,33.0502,-96.7487
Irvine,California,United States,USA,33.6772,-117.7738
Davenport,Iowa,United States,USA,41.5563,-90.6052
Rockford,Illinois,United States,USA,42.2597,-89.0641
Newark,New Jersey,United States,USA,40.7245,-74.1725
South Bend,Indiana,United States,USA,41.6767,-86.2696
Shreveport,Louisiana,United States,USA,32.4656,-93.7956
Round Lake Beach,Illinois,United States,USA,42.379,-88.0811
Savannah,Georgia,United States,USA,32.0281,-81.1784
Myrtle Beach,South Carolina,United States,USA,33.7096,-78.8843
Chula Vista,California,United States,USA,32.6281,-117.0145
Eugene,Oregon,United States,USA,44.0563,-123.1173
Canton,Ohio,United States,USA,40.8075,-81.3677
Lubbock,Texas,United States,USA,33.5659,-101.8878
Reading,Pennsylvania,United States,USA,40.34,-75.9267
Winter Haven,Florida,United States,USA,28.0118,-81.7017
Salem,Oregon,United States,USA,44.9231,-123.0246
St. Petersburg,Florida,United States,USA,27.7931,-82.6652
Lafayette,Louisiana,United States,USA,30.2084,-92.0323
Laredo,Texas,United States,USA,27.5629,-99.4875
Jersey City,New Jersey,United States,USA,40.7161,-74.0682
Concord,North Carolina,United States,USA,35.3933,-80.6366
Columbus,Georgia,United States,USA,32.51,-84.8771
Chandler,Arizona,United States,USA,33.2826,-111.8516
McKinney,Texas,United States,USA,33.2015,-96.6669
Scottsdale,Arizona,United States,USA,33.6872,-111.8651
Killeen,Texas,United States,USA,31.0754,-97.7296
Tallahassee,Florida,United States,USA,30.4551,-84.2526
Peoria,Illinois,United States,USA,40.752,-89.6153
Wilmington,North Carolina,United States,USA,34.21,-77.8866
Montgomery,Alabama,United States,USA,32.3473,-86.2666
Gilbert,Arizona,United States,USA,33.3101,-111.7463
Glendale,Arizona,United States,USA,33.5791,-112.2311
North Las Vegas,Nevada,United States,USA,36.288,-115.0901
Chesapeake,Virginia,United States,USA,36.6778,-76.3024
Barnstable,Massachusetts,United States,USA,41.6722,-70.3599
Norfolk,Virginia,United States,USA,36.8945,-76.259
Fremont,California,United States,USA,37.5265,-121.9852
Kennewick,Washington,United States,USA,46.1978,-119.1732
Garland,Texas,United States,USA,32.91,-96.6305
Irving,Texas,United States,USA,32.8584,-96.9702
Visalia,California,United States,USA,36.3276,-119.3269
Atlantic City,New Jersey,United States,USA,39.3797,-74.4527
Paradise,Nevada,United States,USA,36.0807,-115.1369
Nashua,New Hampshire,United States,USA,42.7491,-71.491
Arlington,Virginia,United States,USA,38.8786,-77.1011
Hialeah,Florida,United States,USA,25.8696,-80.3046
York,Pennsylvania,United States,USA,39.9651,-76.7315
North Hempstead,New York,United States,USA,40.7912,-73.6688
Evansville,Indiana,United States,USA,37.9881,-87.5341
Avondale,Arizona,United States,USA,33.3858,-112.3236
Brownsville,Texas,United States,USA,25.998,-97.4565
